,datetime,open,high,low,close,volume,RSI,MACD,MACD_Signal,Bollinger_Upper,Bollinger_Lower
19,2023-03-24 05:00:00,28177.17,28350.0,28175.14,28325.31,257.63935774,41.71682595686885,125.42386891772912,136.62673072818365,28806.802556624418,27507.120443375577
20,2023-03-24 06:00:00,28327.54,28380.98,28270.75,28305.17,273.02609559,44.394547083671085,121.92130583217295,133.6856457489815,28803.455391129803,27570.532608870195
21,2023-03-24 07:00:00,28305.18,28371.22,28195.13,28320.91,898.35112186,49.2285903344516,119.04332841947326,130.75718228307986,28788.817987180777,27649.67901281922
22,2023-03-24 08:00:00,28316.84,28339.5,27971.96,28074.77,713.40581965,53.60858627359267,95.79678396884628,123.76510262023315,28728.925024024513,27761.18297597548
23,2023-03-24 09:00:00,28074.77,28226.34,28036.37,28076.42,546.55673228,34.268928334736216,76.62360203209755,114.33680250260605,28590.35655219367,27963.747447806338
24,2023-03-24 10:00:00,28076.06,28133.45,27973.25,28073.77,450.71185529,37.17550132131188,60.51727883912827,103.5728977699105,28593.306941315866,27956.63905868413
25,2023-03-24 11:00:00,28076.95,28131.34,27442.42,27637.4,1100.41381061,28.399450773740924,12.398566607149405,85.33803153735829,28605.435217995233,27842.664782004766
26,2023-03-24 12:00:00,27634.29,28196.63,27592.19,28010.01,1050.16300054,42.14285714285709,4.281301278879255,69.12668548566249,28565.585000079576,27831.978999920422
27,2023-03-24 13:00:00,28008.99,28040.63,27694.52,28013.66,1216.79165642,39.33175695221802,-1.836001200867031,54.93414814835659,28550.778088843694,27813.402911156303
28,2023-03-24 14:00:00,28013.75,28299.99,27854.08,28029.41,1635.085888,42.685289359634076,-5.351426206918404,42.8770332773016,28546.72312730141,27824.33987269859
29,2023-03-24 15:00:00,28029.2,28119.67,27877.89,28051.55,1432.69264609,41.40144296215624,-6.2785378076005145,33.045919060321175,28513.71084738922,27819.735152610792
30,2023-03-24 16:00:00,28051.29,28099.88,27857.77,27866.03,1084.97327585,38.344238939949705,-21.732673246220656,22.09020059901281,28504.983587071525,27781.288412928472
31,2023-03-24 17:00:00,27861.6,27939.71,27544.08,27634.48,2104.6675577,32.33879267910682,-52.064173396178376,7.259325799974572,28538.82695256026,27688.946047439742
32,2023-03-24 18:00:00,27634.48,27855.64,27588.33,27772.49,1374.87538304,38.952527032613254,-64.22550059747664,-7.037639479515669,28533.003737769435,27644.815262230568
33,2023-03-24 19:00:00,27774.18,27915.38,27710.98,27853.77,971.18370708,36.703699526280126,-66.53781677402003,-18.937674938416542,28501.62751649424,27626.274483505746
34,2023-03-24 20:00:00,27850.57,27898.94,27506.0,27614.8,1344.61009738,32.67169671139489,-86.65432868698917,-32.48100568813107,28504.010623533995,27560.455376466005
